dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2221,1,0.1,0.01,[100],40,0.415,28.077887553954497,0.17476415,0.1769456,0.23610722
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2222,2,0.1,0.01,[100],40,0.429,24.411461789975874,0.18177358,0.18570519,0.24174812
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2223,3,0.1,0.01,[100],40,0.413,22.66276385600213,0.17528302,0.17807429,0.23682171
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2224,4,0.1,0.01,[100],40,0.426,23.55414397502318,0.18103774,0.17823096,0.23775905
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2225,5,0.1,0.01,[100],40,0.414,22.337356144096702,0.17489623,0.17623417,0.23632398
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2226,6,0.1,0.01,[100],40,0.428,22.74863902910147,0.18629245,0.18570439,0.2450218
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2227,7,0.1,0.01,[100],40,0.413,22.82509491604287,0.1750566,0.17863225,0.23643807
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2228,8,0.1,0.01,[100],40,0.427,22.593486216966994,0.18821698,0.18534103,0.24587649
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2229,9,0.1,0.01,[100],40,0.414,22.92876606795471,0.1749717,0.17883928,0.23645221
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2230,10,0.1,0.01,[100],40,0.414,23.297657544957474,0.17426415,0.17713455,0.23618183
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2231,11,0.1,0.01,[100],40,0.414,22.979899786994793,0.17526415,0.17867783,0.23628681
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2232,12,0.1,0.01,[100],40,0.415,23.01530847500544,0.17441509,0.17650504,0.23552539
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2233,13,0.1,0.01,[100],40,0.414,22.89601607399527,0.17533019,0.1775891,0.23804043
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2234,14,0.1,0.01,[100],40,0.416,22.719146140967496,0.17233019,0.17612578,0.23305463
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2235,15,0.1,0.01,[100],40,0.426,23.058332992019132,0.17176415,0.17563175,0.23204524
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2236,16,0.1,0.01,[100],40,0.429,22.83627007098403,0.1824717,0.18439579,0.24263201
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2237,17,0.1,0.01,[100],40,0.415,22.925103247049265,0.17233019,0.17411537,0.23129744
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2238,18,0.1,0.01,[100],40,0.426,22.736863896949217,0.18366981,0.18124733,0.23817381
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2239,19,0.1,0.01,[100],40,0.415,23.81786872202065,0.17550943,0.17879935,0.23678997
lastfm-asia,lgn,0,Country,proportional,1.0,"{""10"": 0.3880368098159509, ""17"": 0.4579754601226994, ""3"": 0.1539877300613497}",2,2240,20,0.1,0.01,[100],40,0.413,22.696083966991864,0.17524528,0.17763853,0.23652079
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2221,1,0.1,0.01,[100],40,0.415,23.20989824901335,0.17658491,0.17788931,0.23663307
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2222,2,0.1,0.01,[100],40,0.429,22.5764307329664,0.17527358,0.18078785,0.23336755
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2223,3,0.1,0.01,[100],40,0.413,22.76191032701172,0.17745283,0.17740923,0.23793012
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2224,4,0.1,0.01,[100],40,0.424,22.75914160499815,0.18235849,0.17940369,0.23610601
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2225,5,0.1,0.01,[100],40,0.415,22.66059424809646,0.17457547,0.17663024,0.23636484
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2226,6,0.1,0.01,[100],40,0.427,22.649438144057058,0.18076415,0.18145912,0.2384403
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2227,7,0.1,0.01,[100],40,0.412,22.634194836951792,0.17639623,0.17768998,0.23676131
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2228,8,0.1,0.01,[100],40,0.416,22.44247022399213,0.17651887,0.17727595,0.23596448
lastfm-asia,lgn,0,Country,stratified,1.0,"{""10"": 0.3333333333333333, ""17"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2229,9,0.1,0.01,[100],40,0.413,22.60247546294704,0.17737736,0.17958477,0.23843581
