dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@20,recall@20,ndcg@20
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2221,1,0.1,0.01,[20],40,0.347,14.957679552957416,0.10405405,0.0986587,0.13324152
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2222,2,0.1,0.01,[20],40,0.326,12.699124761857092,0.10630631,0.09762328,0.13706125
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2223,3,0.1,0.01,[20],40,0.347,13.11401596502401,0.10382883,0.09543627,0.13699614
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2224,4,0.1,0.01,[20],40,0.363,12.519846004899591,0.1009009,0.09242717,0.1284948
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2225,5,0.1,0.01,[20],40,0.341,12.464710068888962,0.10157658,0.09140008,0.12686481
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2226,6,0.1,0.01,[20],40,0.335,13.091788487043232,0.10630631,0.09896817,0.13382308
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2227,7,0.1,0.01,[20],40,0.349,12.786797974957153,0.09842342,0.08413067,0.11736278
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2228,8,0.1,0.01,[20],40,0.387,12.712433100910857,0.08896396,0.08404925,0.11209247
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2229,9,0.1,0.01,[20],40,0.353,12.49821540992707,0.09977477,0.08732719,0.12099086
ml-1m,mf,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2230,10,0.1,0.01,[20],40,0.347,12.40198818501085,0.10810811,0.10077936,0.12981
