dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@20,recall@20,ndcg@20
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2221,1,0.1,0.001,[20],40,0.283,14.134786557988264,0.11644144,0.11111332,0.14943035
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2222,2,0.1,0.001,[20],40,0.287,13.388577244943008,0.11058559,0.10380352,0.14364419
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2223,3,0.1,0.001,[20],40,0.292,13.167445113998838,0.11126126,0.10634085,0.13786517
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2224,4,0.1,0.001,[20],40,0.31,13.498459154041484,0.10630631,0.09731728,0.13462863
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2225,5,0.1,0.001,[20],40,0.277,12.913075683056377,0.12274775,0.11183751,0.15594797
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2226,6,0.1,0.001,[20],40,0.295,13.905306663014926,0.10990991,0.10579281,0.14098645
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2227,7,0.1,0.001,[20],40,0.312,13.448827473912388,0.10585586,0.09779554,0.1339844
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2228,8,0.1,0.001,[20],40,0.29,13.322648101951927,0.11509009,0.10920815,0.14660515
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2229,9,0.1,0.001,[20],40,0.289,13.513360059005208,0.11103604,0.10217685,0.13987779
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2230,10,0.1,0.001,[20],40,0.28,13.085976256988943,0.11351351,0.10385147,0.14239622
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2231,11,0.1,0.001,[20],40,0.279,13.261201474932022,0.125,0.11663918,0.15930358
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2232,12,0.1,0.001,[20],40,0.288,13.163513740990311,0.11441441,0.11316007,0.15539753
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2233,13,0.1,0.001,[20],40,0.304,13.123440296039917,0.10765766,0.09793474,0.13495031
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2234,14,0.1,0.001,[20],40,0.297,13.392083699000068,0.10765766,0.09866705,0.13718615
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2235,15,0.1,0.001,[20],40,0.284,13.48739907098934,0.11711712,0.11053204,0.1473867
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2236,16,0.1,0.001,[20],40,0.305,13.531484202016145,0.10518018,0.09783677,0.13297898
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2237,17,0.1,0.001,[20],40,0.302,13.262963288929313,0.10698198,0.0989281,0.13467303
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2238,18,0.1,0.001,[20],40,0.302,13.12520324101206,0.11058559,0.10347856,0.13880806
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2239,19,0.1,0.001,[20],40,0.292,13.21169873001054,0.11193694,0.10300022,0.14118197
ml-1m,lgn,1,Age,proportional,1.0,"{""18"": 0.18958404950154692, ""25"": 0.36026125816431764, ""35"": 0.2050532829150911, ""45"": 0.09453420419388106, ""50"": 0.08525266414575455, ""56"": 0.06531454107940873}",2,2240,20,0.1,0.001,[20],40,0.285,13.01742267399095,0.11981982,0.11951857,0.15818932
ml-1m,lgn,1,Age,stratified,1.0,"{""18"": 0.16666666666666666, ""25"": 0.16666666666666666, ""35"": 0.16666666666666666, ""45"": 0.16666666666666666, ""50"": 0.16666666666666666, ""56"": 0.16666666666666666}",2,2221,1,0.1,0.001,[20],40,0.286,13.307624181965366,0.11554054,0.11259073,0.14899686
ml-1m,lgn,1,Age,stratified,1.0,"{""18"": 0.16666666666666666, ""25"": 0.16666666666666666, ""35"": 0.16666666666666666, ""45"": 0.16666666666666666, ""50"": 0.16666666666666666, ""56"": 0.16666666666666666}",2,2222,2,0.1,0.001,[20],40,0.306,13.635776104056276,0.10833333,0.10220395,0.13573113
ml-1m,lgn,1,Age,stratified,1.0,"{""18"": 0.16666666666666666, ""25"": 0.16666666666666666, ""35"": 0.16666666666666666, ""45"": 0.16666666666666666, ""50"": 0.16666666666666666, ""56"": 0.16666666666666666}",2,2223,3,0.1,0.001,[20],40,0.298,13.42122624896001,0.10720721,0.09972221,0.13288609
ml-1m,lgn,1,Age,stratified,1.0,"{""18"": 0.16666666666666666, ""25"": 0.16666666666666666, ""35"": 0.16666666666666666, ""45"": 0.16666666666666666, ""50"": 0.16666666666666666, ""56"": 0.16666666666666666}",2,2224,4,0.1,0.001,[20],40,0.313,15.810733088990673,0.10247748,0.09552033,0.12936981
