dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2221,1,0.1,0.01,[100],40,0.415,39.17537023802288,0.12749004,0.18297006,0.20042044
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2222,2,0.1,0.01,[100],40,0.429,22.00918825599365,0.11928287,0.16758742,0.18416828
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2223,3,0.1,0.01,[100],40,0.413,21.770082720089704,0.12665339,0.18119452,0.19932142
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2224,4,0.1,0.01,[100],40,0.426,21.628664624062367,0.12535857,0.18289002,0.19877141
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2225,5,0.1,0.01,[100],40,0.414,21.483698675991036,0.12739044,0.18349674,0.20125675
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2226,6,0.1,0.01,[100],40,0.428,22.93568824697286,0.11940239,0.16990773,0.18689514
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2227,7,0.1,0.01,[100],40,0.413,21.396115391049534,0.12747012,0.18290225,0.20081686
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2228,8,0.1,0.01,[100],40,0.427,21.35111032007262,0.11994024,0.17269885,0.18972631
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2229,9,0.1,0.01,[100],40,0.414,21.715655067004263,0.12687251,0.18220798,0.20003037
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2230,10,0.1,0.01,[100],40,0.414,21.20881812495645,0.12752988,0.18332047,0.20072386
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2231,11,0.1,0.01,[100],40,0.414,21.446526539046317,0.12772908,0.18383705,0.20030597
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2232,12,0.1,0.01,[100],40,0.415,22.406176620046608,0.12671315,0.18154217,0.19901954
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2233,13,0.1,0.01,[100],40,0.414,21.37549071398098,0.12659363,0.18141698,0.19873176
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2234,14,0.1,0.01,[100],40,0.416,21.554410250973888,0.12649402,0.18162794,0.19731258
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2235,15,0.1,0.01,[100],40,0.426,21.501244980026968,0.12045817,0.17127702,0.19031462
lastfm-asia,lgn,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2236,16,0.1,0.01,[100],40,0.429,21.187299220007844,0.11804781,0.1656247,0.18321432
