dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2223,3,0.1,0.01,[100],40,0.396,21.037883898010477,0.12223108,0.17337086,0.18885233
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2224,4,0.1,0.01,[100],40,0.399,20.783733288990334,0.12515936,0.178062,0.19218004
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2225,5,0.1,0.01,[100],40,0.395,20.462971616070718,0.12701195,0.18141232,0.19751316
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2226,6,0.1,0.01,[100],40,0.394,20.575076075969264,0.12593625,0.18200253,0.19578777
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2227,7,0.1,0.01,[100],40,0.406,21.413685970939696,0.1247012,0.17899798,0.19404369
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2228,8,0.1,0.01,[100],40,0.4,20.452588991029188,0.12768924,0.18510683,0.19973607
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2229,9,0.1,0.01,[100],40,0.395,20.774416028987616,0.12533865,0.18093307,0.19844899
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2230,10,0.1,0.01,[100],40,0.415,21.537781383143738,0.12027888,0.17048009,0.18734258
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2231,11,0.1,0.01,[100],40,0.395,20.773441263940185,0.12649402,0.18249162,0.19975934
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2232,12,0.1,0.01,[100],40,0.409,21.48047578916885,0.11800797,0.1706586,0.18247001
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2233,13,0.1,0.01,[100],40,0.412,22.821919361827895,0.1185259,0.16465413,0.18414951
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2234,14,0.1,0.01,[100],40,0.396,20.398076504003257,0.12772908,0.18309793,0.19634095
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2235,15,0.1,0.01,[100],40,0.401,20.60194141906686,0.12318725,0.17564244,0.18884927
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2236,16,0.1,0.01,[100],40,0.398,20.9707113110926,0.1263745,0.18186183,0.1987192
